Tick,Quality,type,Task
335.3,0.793939822648349,Order348-5,Task 162
335.3,0.7896208914756535,Order348-4,Task 161
337.3,4.458806838650278,Order351-5,Task 182
338.3,2.009369181464053,Order351-7,Task 184
339.3,3.6066025296306807,Order351-3,Task 180
344.3,1.4902256411116515,Order353-10,Task 197
344.3,1.4139214668781503,Order351-9,Task 186
346.3,7.807279097569562,Order351-6,Task 183
348.3,7.4880182070916055,Order353-7,Task 194
349.3,11.750913799265888,Order353-9,Task 196
349.3,2.4006660158700917,Order351-3,Task 200
353.3,4.785831850388169,Order353-6,Task 193
354.3,2.42164807526385,Order353-2,Task 189
354.3,9.085845349137772,Order353-8,Task 195
354.3,0.04207363637843686,Order353-3,Task 190
357.3,11.612951100867509,Order353-1,Task 188
358.3,19.517356954294456,Order351-10,Task 207
362.3,3.3563143814440934,Order353-5,Task 192
364.3,2.4009488108220047,Order351-1,Task 198
367.3,10.75360006345525,Order351-4,Task 201
370.3,6.055615623751739,Order353-4,Task 191
374.3,15.284080349414785,Order351-6,Task 203
375.3,2.8204388324030196,Order351-8,Task 205
377.3,3.6397143471433804,Order351-2,Task 199
378.3,0.11883763548186765,Order351-9,Task 206
384.3,1.5612524078916246,Order351-7,Task 204
386.3,1.4575485267447101,Order351-5,Task 202
387.3,2.373714024203133,Order346-8,Task 215
389.3,0.681117525291032,Order348-8,Task 225
390.3,5.7506547360091576,Order346-5,Task 212
392.3,3.950818646123862,Order346-10,Task 217
392.3,2.284151905891383,Order346-6,Task 213
393.3,23.389423084601976,Order353-4,Task 357
396.3,17.24642989548702,Order346-3,Task 210
397.3,2.71672768714508,Order346-7,Task 214
398.3,0.009522867337556917,Order346-4,Task 211
401.3,2.311095666702898,Order346-9,Task 216
402.3,3.6702352299263947,Order348-2,Task 219
402.3,3.117872709382658,Order346-1,Task 208
406.3,13.42313557268766,Order348-9,Task 226
408.3,0.6203257365187733,Order348-6,Task 223
408.3,8.90216798672602,Order346-2,Task 209
412.3,1.0995605160938489,Order348-3,Task 220
414.3,3.9166128272104785,Order348-8,Task 235
414.3,0.5644640421596345,Order348-10,Task 227
417.3,4.811637530415496,Order348-5,Task 222
417.3,0.8638727779872699,Order348-1,Task 218
422.3,5.786389460368923,Order348-7,Task 224
422.3,10.2659066971067,Order348-9,Task 236
423.3,1.6075931809669173,Order348-1,Task 228
428.3,3.703381223480769,Order351-3,Task 240
428.3,1.3548727867132584,Order348-10,Task 237
430.3,-2.9073336525356233,Order348-6,Task 233
433.3,0.2753054798937056,Order348-5,Task 232
433.3,2.168043571714045,Order348-4,Task 221
439.3,0.6473174027334614,Order348-2,Task 229
440.3,8.231943147619733,Order348-7,Task 234
448.3,2.8267489441964493,Order351-5,Task 242
449.3,4.650289075938754,Order348-3,Task 230
450.3,2.5523897577698995,Order348-4,Task 231
453.3,7.226272387342044,Order351-4,Task 241
455.3,0.7485852781271869,Order351-6,Task 243
456.3,2.43357748985549,Order351-8,Task 245
456.3,3.1812002443068454,Order351-1,Task 238
457.3,1.007979943173491,Order351-2,Task 239
458.3,1.2513352316042465,Order351-9,Task 246
459.3,2.0940156816349056,Order352-8,Task 255
463.3,12.554921875166839,Order353-1,Task 257
466.3,-4.215419092450256,Order351-7,Task 244
476.3,2.115575562141881,Order352-9,Task 256
479.3,20.51759005398428,Order353-1,Task 402
483.3,-4.7330789195766165,Order352-7,Task 254
483.3,20.029580307870674,Order353-4,Task 405
484.0,15.824461988284076,Order351-2,Task 423
484.3,4.277155507048333,Order352-2,Task 249
486.3,19.90339253963715,Order351-9,Task 430
486.3,5.609064314209611,Order352-6,Task 253
488.3,5.993412954231033,Order352-4,Task 251
489.3,3.22683419828463,Order352-3,Task 250
489.3,16.710931691908936,Order352-5,Task 252
492.3,24.09821618059526,Order353-4,Task 415
493.3,8.80754309217944,Order353-7,Task 263
493.3,6.028424247400004,Order353-9,Task 265
495.3,2.3894740830668044,Order353-2,Task 258
495.3,3.7579487167411907,Order353-3,Task 259
496.3,11.302773190393044,Order353-8,Task 264
498.3,1.4185796983231114,Order352-1,Task 248
500.3,5.330871675532762,Order353-6,Task 262
505.3,2.5039464792954544,Order353-10,Task 266
509.3,2.9604990785852774,Order353-5,Task 261
510.3,2.3365326950494603,Order346-3,Task 278
518.3,5.808811986486612,Order353-4,Task 260
519.3,1.6284709611711439,Order350-4,Task 270
520.3,6.725211133826353,Order346-9,Task 284
522.3,7.223396145263067,Order346-5,Task 280
524.3,2.0491767728305987,Order350-1,Task 267
525.3,2.8467907140978594,Order350-9,Task 275
526.3,4.328748011729456,Order346-6,Task 281
529.3,6.332823175776639,Order346-8,Task 283
533.3,2.329807030234587,Order346-1,Task 276
533.3,-1.6209934170870808,Order350-6,Task 272
535.3,-0.4122549798328943,Order346-7,Task 282
536.3,3.3170588157339833,Order345-4,Task 289
536.3,1.8875408403218936,Order350-8,Task 274
539.3,1.27462132741983,Order350-3,Task 269
541.3,25.317127514752805,Order350-7,Task 273
542.3,22.145773444497337,Order353-4,Task 453
543.3,4.31050553922564,Order350-5,Task 271
548.3,0.5189364349025567,Order346-10,Task 285
549.3,3.6094177852429676,Order346-4,Task 279
550.3,3.7570129230637335,Order350-2,Task 268
550.3,5.449477620691534,Order346-2,Task 277
553.3,2.821285959576539,Order345-8,Task 293
554.3,-0.5999274555912573,Order345-1,Task 286
557.3,3.073400561128369,Order345-5,Task 290
559.3,2.9652240768100677,Order345-6,Task 291
561.3,3.363725781780572,Order345-9,Task 294
565.3,6.640787396722166,Order345-2,Task 287
567.3,0.7111132728407843,Order345-3,Task 288
572.3,28.776069881386523,Order348-9,Task 304
573.3,2.815606399973277,Order345-7,Task 292
576.3,1.7995096798211372,Order348-8,Task 303
577.3,7.493114842904959,Order348-4,Task 299
581.3,17.66002794124585,Order353-4,Task 482
583.3,3.692675429483967,Order348-5,Task 300
585.3,4.984320409128627,Order348-7,Task 302
